"pic","word","condition","rt","accuracy","participant"
"bed","mountain","unrelated_cat",879.0249,1,1
"plane","shin","mediated",668.5034,1,1
"couch","bed","category",683.4694,1,1
"mouth","tie","unrelated_cat",562.7438,1,1
"coat","fork","unrelated_cat",784.2404,1,1
"star","moon","category",713.4014,1,1
"carrot","leg","unrelated_cat",664.5125,1,1
"beans","ear","unrelated_cat",674.4898,1,1
"horse","camel","category",798.2086,1,1
"knife","camel","unrelated_cat",730.3628,1,1
"mountain","flute","unrelated_cat",707.415,1,1
"plane","ship","category",623.6054,1,1
"lake","mountain","category",726.3719,1,1
"coat","harbour","unrelated_med",609.6372,1,1
"hat","coat","category",NA,1,1
"flute","whistle","category",616.6213,1,1
"couch","bell","mediated",694.4444,1,1
"lemon","whistle","unrelated_cat",600.6576,1,1
"coat","ham","mediated",NA,1,1
"moon","table","unrelated_cat",633.5828,1,1
"carrot","beach","mediated",503.8776,1,1
"whistle","mood","unrelated_med",537.8005,1,1
"couch","lake","unrelated_cat",647.551,1,1
"mouth","hand","category",699.4331,1,1
"camel","house","mediated",572.7211,1,1
"fork","coat","unrelated_cat",660.5215,1,1
"carrot","beans","category",525.8277,1,1
"whistle","carrot","unrelated_cat",NA,1,1
"beans","carriage","mediated",691.4512,1,1
"mouth","beach","unrelated_med",528.8209,1,1
"horse","ship","unrelated_cat",805.1927,1,1
"leg","lemming","unrelated_med",721.3832,1,1
"sock","whiskey","unrelated_med",658.5261,1,1
"pig","sheet","mediated",611.6327,1,1
"beans","hamper","unrelated_med",674.4898,1,1
"truck","chain","unrelated_med",626.5986,1,1
"flute","sock","unrelated_cat",646.5533,1,1
"harp","lemon","unrelated_cat",616.6213,1,1
"pig","mound","unrelated_med",943.8776,1,1
"fork","knight","mediated",710.4082,1,1
"drill","sheet","unrelated_med",650.5442,1,1
"sheep","pig","category",715.3968,1,1
"table","chair","category",608.6395,1,1
"lemon","pearl","mediated",623.6054,1,1
"tie","sock","category",591.678,1,1
"drill","horse","unrelated_cat",607.6417,1,1
"truck","mouth","unrelated_cat",746.3265,1,1
"drum","mouse","unrelated_med",579.7052,1,1
"table","coal","unrelated_med",597.6644,1,1
"flute","whiskey","mediated",624.6032,1,1
"plane","hat","unrelated_cat",591.678,1,1
"knife","fork","category",627.5964,1,1
"truck","card","mediated",681.4739,1,1
"harp","drug","mediated",532.8118,1,1
"lake","mouse","mediated",1730.0907,0,2
"horse","camel","category",906.9615,1,2
"tie","sock","category",650.5442,1,2
"camel","plane","unrelated_cat",464.966,1,2
"mouth","beach","unrelated_med",510.8617,1,2
"fork","knife","category",1198.2993,1,2
"star","truffle","unrelated_med",650.5442,1,2
"horse","camera","mediated",550.771,1,2
"leg","beans","unrelated_cat",578.7075,1,2
"hat","drill","unrelated_cat",533.8095,1,2
"lemon","pear","category",489.9093,1,2
"mountain","shin","unrelated_med",693.4467,1,2
"hand","sheep","unrelated_cat",473.9456,1,2
"whistle","flute","category",519.8413,1,2
"table","chain","mediated",863.0612,1,2
"coat","hat","category",532.8118,1,2
"mountain","flute","unrelated_cat",485.9184,1,2
"hand","mouth","category",495.8957,1,2
"star","bed","unrelated_cat",591.678,1,2
"flute","stalk","unrelated_med",613.6281,1,2
"ship","plant","mediated",480.9297,1,2
"beans","hamper","unrelated_med",477.9365,1,2
"drum","harbour","mediated",503.8776,1,2
"ear","legend","mediated",524.8299,1,2
"flute","sock","unrelated_cat",615.6236,1,2
"harp","drum","category",692.449,1,2
"beans","carriage","mediated",573.7188,1,2
"carrot","beach","mediated",520.839,1,2
"sheep","hanger","unrelated_med",483.9229,1,2
"flute","whistle","category",638.5714,1,2
"leg","earth","mediated",555.7596,1,2
"ear","couch","unrelated_cat",498.8889,1,2
"harp","drug","mediated",501.8821,1,2
"sheep","pill","mediated",462.9705,1,2
"carrot","leg","unrelated_cat",514.8526,1,2
"table","coal","unrelated_med",488.9116,1,2
"car","truck","category",527.8231,1,2
"drum","mouse","unrelated_med",649.5465,1,2
"pear","fort","unrelated_med",549.7732,1,2
"camel","house","mediated",634.5805,1,2
"drill","sheet","unrelated_med",633.5828,1,2
"car","tablet","unrelated_med",566.7347,1,2
"pig","truck","unrelated_cat",584.6939,1,2
"ship","bell","unrelated_med",504.8753,1,2
"fork","house","unrelated_med",572.7211,1,2
"beans","ear","unrelated_cat",641.5646,1,2
"truck","chain","unrelated_med",533.8095,1,2
"lemon","knight","unrelated_med",498.8889,1,2
"couch","lake","unrelated_cat",819.161,1,2
"horse","earth","unrelated_med",588.6848,1,2
"pear","harp","unrelated_cat",497.8912,1,2
"bed","count","mediated",713.4014,1,2
"mountain","lace","mediated",997.7551,1,2
"ear","leg","category",541.7914,1,2
"hammer","pill","unrelated_med",660.5215,1,2
"plane","ship","category",539.7959,1,2
"sock","whiskey","unrelated_med",574.7166,1,2
"hand","mound","mediated",464.966,1,2
"sheep","pig","category",612.6304,1,2
"leg","ear","category",648.5488,1,2
"whistle","fluid","mediated",585.6916,1,2
"sock","tide","mediated",454.9887,1,2
"car","hand","unrelated_cat",533.8095,1,2
"lake","mountain","category",865.0567,1,2
"moon","plant","unrelated_med",709.4104,1,2
"leg","lemming","unrelated_med",547.7778,1,2
"plane","shin","mediated",565.737,1,2
"couch","tide","unrelated_med",868.0499,1,2
"tie","fluid","unrelated_med",497.8912,1,2
"car","truffle","mediated",520.839,1,2
"knife","fort","mediated",511.8594,1,2
"coat","fork","unrelated_cat",583.6961,1,2
"whistle","carrot","unrelated_cat",NA,0,2
"camel","horse","category",530.8163,1,2
"pig","sheep","category",472.9478,1,2
"mouth","hanger","mediated",552.7664,1,2
"star","mood","mediated",631.5873,1,2
"harp","lemon","unrelated_cat",538.7982,1,2
