"pic","word","condition","rt","accuracy","participant"
"couch","bed","category",1142.4263,1,5
"tie","sock","category",1314.0363,1,5
"hat","coal","mediated",924.9206,1,5
"sheep","hanger","unrelated_med",662.517,1,5
"pear","harp","unrelated_cat",511.8594,1,5
"lemon","pearl","mediated",505.873,1,5
"pig","truck","unrelated_cat",561.746,1,5
"moon","stalk","mediated",552.7664,1,5
"star","bed","unrelated_cat",738.3447,1,5
"car","tablet","unrelated_med",760.2948,1,5
"flute","sock","unrelated_cat",521.8367,1,5
"pig","sheep","category",462.9705,1,5
"bed","couch","category",548.7755,1,5
"carrot","leg","unrelated_cat",582.6984,1,5
"lemon","pear","category",648.5488,1,5
"star","mood","mediated",682.4717,1,5
"pig","sheet","mediated",471.9501,1,5
"hat","drug","unrelated_med",503.8776,1,5
"whistle","fluid","mediated",529.8186,1,5
"ear","pearl","unrelated_med",782.2449,1,5
"mountain","flute","unrelated_cat",854.0816,1,5
"flute","whistle","category",404.1043,1,5
"hammer","pill","unrelated_med",521.8367,1,5
"fork","knight","mediated",489.9093,1,5
"pear","fort","unrelated_med",918.9342,1,5
"mountain","lake","category",552.7664,1,5
"car","truffle","mediated",620.6122,1,5
"pig","mound","unrelated_med",537.8005,1,5
"knife","fork","category",793.22,1,5
"ship","plane","category",549.7732,1,5
"table","star","unrelated_cat",721.3832,1,5
"sock","tide","mediated",690.4535,1,5
"coat","fork","unrelated_cat",696.4399,1,5
"harp","lemon","unrelated_cat",664.5125,1,5
"lake","card","unrelated_med",757.3016,1,5
"carrot","beans","category",611.6327,1,5
"sock","knife","unrelated_cat",586.6893,1,5
"leg","lemming","unrelated_med",790.2268,1,5
"harp","lace","unrelated_med",598.6621,1,5
"plane","shin","mediated",547.7778,1,5
"couch","tide","unrelated_med",937.8912,1,5
"mountain","shin","unrelated_med",746.3265,1,5
"table","chain","mediated",1448.7302,1,5
"mouth","beach","unrelated_med",949.8639,1,5
"fork","house","unrelated_med",850.0907,1,5
"drum","harbour","mediated",511.8594,1,5
"sheep","car","unrelated_cat",523.8322,1,5
"drill","sheet","unrelated_med",848.0952,1,5
"lemon","knight","unrelated_med",693.4467,1,5
"coat","hat","category",600.6576,1,5
"bed","mountain","unrelated_cat",1039.6599,1,5
"car","truck","category",710.4082,1,5
"leg","earth","mediated",593.6735,1,5
"table","chair","category",1136.4399,0,5
"knife","camera","unrelated_med",817.1655,1,5
"truck","card","mediated",538.7982,1,5
"whistle","carrot","unrelated_cat",554.7619,1,5
"hat","drill","unrelated_cat",798.2086,1,5
"sheep","pill","mediated",408.0952,1,5
"drill","hamper","mediated",700.4308,1,5
"truck","car","category",455.9864,1,5
"chair","ham","unrelated_med",545.7823,1,5
"lemon","whistle","unrelated_cat",451.9955,1,5
"camel","house","mediated",659.5238,1,5
"drill","horse","unrelated_cat",552.7664,1,5
"knife","fort","mediated",978.7982,1,5
"tie","fluid","unrelated_med",685.4649,1,5
"horse","camel","category",1204.2857,0,5
"camel","legend","unrelated_med",581.7007,1,5
"ship","plant","mediated",580.7029,1,5
"chair","table","category",838.1179,1,5
"truck","mouth","unrelated_cat",599.6599,1,5
"horse","earth","unrelated_med",541.7914,1,5
"star","moon","category",938.8889,1,5
"carrot","drip","unrelated_med",674.4898,1,5
"sock","whiskey","unrelated_med",768.2766,0,6
"harp","lemon","unrelated_cat",482.9252,1,6
"table","chair","category",1238.2086,1,6
"plane","ship","category",715.3968,0,6
"coat","harbour","unrelated_med",612.6304,1,6
"horse","earth","unrelated_med",589.6825,1,6
"tie","sock","category",650.5442,1,6
"ship","plant","mediated",614.6259,1,6
"mountain","lace","mediated",705.4195,1,6
"drill","hammer","category",581.7007,1,6
"sock","tide","mediated",470.9524,1,6
"chair","table","category",716.3946,1,6
"sheep","car","unrelated_cat",652.5397,1,6
"hammer","drill","category",599.6599,1,6
"star","truffle","unrelated_med",778.254,0,6
"camel","horse","category",607.6417,1,6
"plane","hat","unrelated_cat",916.9388,1,6
"drum","harp","category",798.2086,1,6
"knife","fork","category",585.6916,1,6
"bed","count","mediated",938.8889,1,6
"pig","mound","unrelated_med",687.4603,1,6
"moon","star","category",576.712,1,6
"fork","coat","unrelated_cat",612.6304,1,6
"lemon","pearl","mediated",542.7891,1,6
"ship","drum","unrelated_cat",616.6213,1,6
"whistle","carrot","unrelated_cat",692.449,1,6
"pig","sheep","category",828.1406,1,6
"fork","knight","mediated",536.8027,1,6
"hand","mound","mediated",457.9819,1,6
"truck","chain","unrelated_med",728.3673,1,6
"car","tablet","unrelated_med",687.4603,1,6
"pig","sheet","mediated",608.6395,1,6
"camel","house","mediated",596.6667,1,6
"knife","camera","unrelated_med",517.8458,1,6
"flute","whistle","category",672.4943,1,6
"bed","couch","category",644.5578,1,6
"whistle","fluid","mediated",511.8594,1,6
"chair","tablet","mediated",1047.6417,1,6
"hammer","pill","unrelated_med",677.483,1,6
"flute","stalk","unrelated_med",719.3878,1,6
"bed","mountain","unrelated_cat",614.6259,1,6
"table","chain","mediated",679.4785,1,6
"coat","hat","category",711.4059,1,6
"drill","hamper","mediated",573.7188,1,6
"car","truck","category",533.8095,1,6
"beans","carrot","category",683.4694,1,6
"carrot","drip","unrelated_med",549.7732,1,6
"table","star","unrelated_cat",532.8118,1,6
"leg","earth","mediated",672.4943,1,6
"star","mood","mediated",690.4535,1,6
"beans","hamper","unrelated_med",625.6009,1,6
"tie","soap","mediated",615.6236,1,6
"hammer","drip","mediated",566.7347,1,6
"lemon","pear","category",564.7392,1,6
"whistle","flute","category",519.8413,1,6
"mouth","tie","unrelated_cat",586.6893,1,6
"horse","camel","category",606.644,1,6
"carrot","leg","unrelated_cat",478.9342,1,6
"fork","house","unrelated_med",547.7778,1,6
"whistle","mood","unrelated_med",514.8526,1,6
"sock","tie","category",670.4989,1,6
"mouth","beach","unrelated_med",460.9751,1,6
"pear","harp","unrelated_cat",518.8435,1,6
"horse","camera","mediated",778.254,0,6
"beans","carriage","mediated",592.6757,1,6
"carrot","beans","category",575.7143,1,6
"knife","fort","mediated",496.8934,1,6
"lake","mountain","category",862.0635,1,6
"drill","horse","unrelated_cat",494.898,1,6
"sheep","pill","mediated",730.3628,1,6
"car","truffle","mediated",619.6145,1,6
"hat","coat","category",661.5193,1,6
"moon","table","unrelated_cat",734.3537,1,6
"tie","hammer","unrelated_cat",696.4399,1,6
"harp","lace","unrelated_med",510.8617,1,6
"knife","camel","unrelated_cat",437.0295,1,6
"drum","pear","unrelated_cat",603.6508,1,6
"leg","lemming","unrelated_med",558.7528,1,6
"fork","knife","category",411.0884,0,6
"plane","count","unrelated_med",895.9864,1,6
"flute","sock","unrelated_cat",605.6463,1,6
"moon","stalk","mediated",686.4626,1,6
"sheep","hanger","unrelated_med",514.8526,1,6
"mountain","flute","unrelated_cat",724.3764,1,6
"plane","shin","mediated",558.7528,1,6
"drill","sheet","unrelated_med",593.6735,1,6
"moon","plant","unrelated_med",639.5692,1,6
"coat","fork","unrelated_cat",701.4286,1,6
"ear","pearl","unrelated_med",474.9433,1,6
"lake","chair","unrelated_cat",648.5488,1,6
"star","moon","category",706.4172,1,6
"tie","fluid","unrelated_med",786.2358,1,6
"sheep","pig","category",574.7166,1,6
"hammer","pig","unrelated_cat",556.7574,1,6
"pear","lemming","mediated",543.7868,1,6
"hand","carriage","unrelated_med",840.1134,1,6
"bed","soap","unrelated_med",862.0635,1,6
"ear","legend","mediated",534.8073,1,6
"camel","plane","unrelated_cat",618.6168,1,6
"star","bed","unrelated_cat",525.8277,1,6
"truck","card","mediated",564.7392,1,6
"beans","ear","unrelated_cat",626.5986,1,6
"ear","couch","unrelated_cat",471.9501,1,6
"mountain","lake","category",909.9546,1,6
"leg","beans","unrelated_cat",727.3696,1,6
"harp","drug","mediated",616.6213,1,6
"lemon","knight","unrelated_med",653.5374,1,6
"coat","ham","mediated",600.6576,1,6
"ear","leg","category",506.8707,1,6
"hat","drill","unrelated_cat",611.6327,1,6
"car","hand","unrelated_cat",568.7302,1,6
"harp","drum","category",554.7619,1,6
"lemon","whistle","unrelated_cat",609.6372,1,6
"carrot","beach","mediated",519.8413,1,6
"hat","drug","unrelated_med",685.4649,1,6
"lake","mouse","mediated",583.6961,1,6
"hand","sheep","unrelated_cat",474.9433,1,6
"couch","lake","unrelated_cat",738.3447,1,6
"mouth","hand","category",617.619,1,6
"hat","coal","mediated",544.7846,1,6
"ship","plane","category",756.3039,1,6
"hand","mouth","category",451.9955,1,6
"flute","whiskey","mediated",565.737,1,6
"truck","car","category",575.7143,1,6
"lake","card","unrelated_med",531.8141,1,6
"camel","legend","unrelated_med",541.7914,1,6
"drum","harbour","mediated",566.7347,1,6
"couch","bell","mediated",755.3061,1,6
"pear","fort","unrelated_med",561.746,1,6
"mountain","shin","unrelated_med",718.39,1,6
"truck","mouth","unrelated_cat",526.8254,1,6
"pig","truck","unrelated_cat",646.5533,1,6
"mouth","hanger","mediated",456.9841,1,6
"leg","ear","category",626.5986,1,6
"ship","bell","unrelated_med",602.6531,1,6
"couch","tide","unrelated_med",649.5465,1,6
"horse","ship","unrelated_cat",739.3424,1,6
"pear","lemon","category",454.9887,1,6
"chair","ham","unrelated_med",758.2993,1,6
"table","coal","unrelated_med",559.7506,1,6
"couch","bed","category",420.068,1,6
"sock","knife","unrelated_cat",643.5601,1,6
"drum","mouse","unrelated_med",552.7664,1,6
"chair","moon","unrelated_cat",559.7506,0,6
"whistle","flute","category",1204.2857,0,7
"tie","hammer","unrelated_cat",683.4694,1,7
"carrot","beach","mediated",434.0363,1,7
"bed","count","mediated",466.9615,1,7
"plane","count","unrelated_med",512.8571,1,7
"harp","drum","category",565.737,1,7
"pig","sheet","mediated",477.9365,1,7
"star","truffle","unrelated_med",569.7279,1,7
"coat","fork","unrelated_cat",499.8866,1,7
"hand","mound","mediated",460.9751,1,7
"sock","knife","unrelated_cat",473.9456,1,7
"hat","coat","category",436.0317,1,7
"star","moon","category",566.7347,1,7
"plane","hat","unrelated_cat",622.6077,1,7
"drill","sheet","unrelated_med",572.7211,1,7
"car","hand","unrelated_cat",512.8571,1,7
"flute","whiskey","mediated",542.7891,1,7
"couch","tide","unrelated_med",823.1519,1,7
"beans","hamper","unrelated_med",601.6553,1,7
"plane","ship","category",627.5964,1,7
"lake","mouse","mediated",656.5306,1,7
"pear","lemming","mediated",463.9683,1,7
"sheep","hanger","unrelated_med",461.9728,1,7
"fork","knife","category",501.8821,1,7
"ear","leg","category",564.7392,1,7
"hand","sheep","unrelated_cat",520.839,1,7
"whistle","fluid","mediated",524.8299,1,7
"horse","camel","category",712.4036,1,7
"fork","knight","mediated",602.6531,1,7
"coat","ham","mediated",531.8141,1,7
"lake","card","unrelated_med",572.7211,1,7
"whistle","mood","unrelated_med",507.8685,1,7
"table","chain","mediated",628.5941,1,7
"couch","bed","category",589.6825,1,7
"moon","star","category",528.8209,1,7
"camel","house","mediated",607.6417,1,7
"mountain","shin","unrelated_med",721.3832,1,7
"truck","chain","unrelated_med",544.7846,1,7
"couch","lake","unrelated_cat",961.8367,1,7
"fork","house","unrelated_med",528.8209,1,7
"leg","beans","unrelated_cat",1346.9615,0,7
"camel","horse","category",547.7778,1,7
"pig","sheep","category",518.8435,1,7
"sock","tide","mediated",479.932,1,7
"moon","stalk","mediated",493.9002,1,7
"sheep","pig","category",789.229,1,7
"pear","lemon","category",521.8367,1,7
"knife","fort","mediated",831.1338,1,7
"pig","truck","unrelated_cat",520.839,1,7
"truck","car","category",568.7302,1,7
"flute","stalk","unrelated_med",524.8299,1,7
"lemon","knight","unrelated_med",507.8685,1,7
"whistle","carrot","unrelated_cat",500.8844,1,7
"leg","ear","category",653.5374,0,7
"hammer","drip","mediated",661.5193,1,7
"moon","table","unrelated_cat",421.0658,1,7
"drill","hammer","category",582.6984,1,7
"mountain","lake","category",498.8889,1,7
"fork","coat","unrelated_cat",500.8844,1,7
"ear","legend","mediated",523.8322,1,7
"sock","tie","category",443.0159,1,7
"drill","horse","unrelated_cat",519.8413,1,7
"camel","plane","unrelated_cat",487.9138,1,7
"lake","mountain","category",532.8118,1,7
"table","star","unrelated_cat",600.6576,1,7
"hammer","pig","unrelated_cat",582.6984,1,7
"bed","couch","category",678.4807,1,7
"hat","drug","unrelated_med",477.9365,1,7
"coat","harbour","unrelated_med",525.8277,1,7
"beans","ear","unrelated_cat",531.8141,1,7
"drum","mouse","unrelated_med",506.8707,1,7
"bed","mountain","unrelated_cat",573.7188,1,7
"mouth","tie","unrelated_cat",1402.8345,0,7
"couch","bell","mediated",943.8776,1,7
"beans","carrot","category",486.9161,1,7
"car","truck","category",514.8526,1,7
"pear","harp","unrelated_cat",468.9569,1,7
"table","coal","unrelated_med",512.8571,1,7
"hand","carriage","unrelated_med",458.9796,1,7
"ship","drum","unrelated_cat",537.8005,1,7
"car","tablet","unrelated_med",582.6984,1,7
"harp","lemon","unrelated_cat",543.7868,1,7
"lake","chair","unrelated_cat",618.6168,1,7
"drill","hamper","mediated",501.8821,1,7
"leg","lemming","unrelated_med",504.8753,1,7
"ear","pearl","unrelated_med",542.7891,1,7
"carrot","beans","category",529.8186,1,7
"horse","earth","unrelated_med",630.5896,1,7
"moon","plant","unrelated_med",547.7778,1,7
"leg","earth","mediated",584.6939,1,7
"truck","card","mediated",552.7664,1,7
"hand","mouth","category",436.0317,1,7
"lemon","pearl","mediated",497.8912,1,7
"hammer","pill","unrelated_med",685.4649,1,7
"camel","legend","unrelated_med",553.7642,1,7
"hat","drill","unrelated_cat",599.6599,1,7
"beans","carriage","mediated",512.8571,1,7
"chair","tablet","mediated",684.4671,1,7
"drum","pear","unrelated_cat",480.9297,1,7
"plane","shin","mediated",867.0522,0,7
"truck","mouth","unrelated_cat",533.8095,1,7
"car","truffle","mediated",583.6961,1,7
"horse","camera","mediated",588.6848,1,7
"chair","table","category",704.4218,1,7
"drum","harp","category",543.7868,1,7
"knife","camera","unrelated_med",499.8866,1,7
"lemon","whistle","unrelated_cat",631.5873,1,7
"sheep","pill","mediated",671.4966,1,7
"harp","lace","unrelated_med",496.8934,1,7
"ship","bell","unrelated_med",503.8776,1,7
"flute","whistle","category",824.1497,1,7
"star","bed","unrelated_cat",624.6032,1,7
"table","chair","category",507.8685,1,7
"coat","hat","category",601.6553,1,7
"hat","coal","mediated",586.6893,1,7
"lemon","pear","category",724.3764,1,7
"star","mood","mediated",595.6689,1,7
"mouth","hand","category",553.7642,1,7
"chair","ham","unrelated_med",608.6395,1,7
"ear","couch","unrelated_cat",589.6825,1,7
"pear","fort","unrelated_med",530.8163,1,7
"drum","harbour","mediated",502.8798,1,7
"carrot","leg","unrelated_cat",597.6644,1,7
"mouth","beach","unrelated_med",590.6803,1,7
"horse","ship","unrelated_cat",577.7098,1,7
"knife","camel","unrelated_cat",488.9116,1,7
"ship","plant","mediated",526.8254,1,7
"tie","sock","category",594.6712,1,7
"sock","whiskey","unrelated_med",369.1837,1,7
"carrot","drip","unrelated_med",499.8866,1,7
"sheep","car","unrelated_cat",448.0045,1,7
"mountain","lace","mediated",492.9025,1,7
"tie","fluid","unrelated_med",514.8526,1,7
"mouth","hanger","mediated",489.9093,1,7
"knife","fork","category",491.9048,1,7
"flute","sock","unrelated_cat",516.8481,1,7
"bed","soap","unrelated_med",517.8458,1,7
"pig","mound","unrelated_med",598.6621,1,7
"chair","moon","unrelated_cat",799.2063,1,7
"harp","drug","mediated",522.8345,1,7
"tie","soap","mediated",564.7392,1,7
"hammer","drill","category",921.9274,1,7
"ship","plane","category",496.8934,1,7
"mountain","flute","unrelated_cat",513.8549,1,7
"horse","camel","category",1743.0612,0,8
"camel","plane","unrelated_cat",816.1678,1,8
"lemon","pear","category",516.8481,1,8
"coat","ham","mediated",502.8798,1,8
"harp","drug","mediated",602.6531,1,8
"star","bed","unrelated_cat",669.5011,1,8
"camel","horse","category",581.7007,1,8
"sock","tie","category",492.9025,1,8
"carrot","drip","unrelated_med",599.6599,1,8
"lake","mouse","mediated",679.4785,1,8
"ship","plant","mediated",598.6621,1,8
"leg","ear","category",660.5215,1,8
"sock","tide","mediated",595.6689,1,8
"moon","stalk","mediated",513.8549,1,8
"flute","whistle","category",633.5828,1,8
"ear","legend","mediated",522.8345,1,8
"star","mood","mediated",688.458,1,8
"plane","count","unrelated_med",563.7415,1,8
"sheep","pill","mediated",576.712,1,8
"leg","beans","unrelated_cat",608.6395,1,8
"sock","knife","unrelated_cat",569.7279,1,8
"moon","plant","unrelated_med",672.4943,1,8
"plane","shin","mediated",548.7755,1,8
"mountain","lake","category",596.6667,1,8
"whistle","mood","unrelated_med",956.8481,1,8
"hat","drill","unrelated_cat",516.8481,1,8
"moon","table","unrelated_cat",463.9683,1,8
"drill","hammer","category",489.9093,1,8
"tie","hammer","unrelated_cat",525.8277,1,8
"sheep","hanger","unrelated_med",499.8866,1,8
"pear","harp","unrelated_cat",504.8753,1,8
"whistle","carrot","unrelated_cat",551.7687,1,8
"drum","harp","category",478.9342,1,8
"leg","earth","mediated",575.7143,1,8
"truck","mouth","unrelated_cat",569.7279,1,8
"hand","mound","mediated",479.932,1,8
"moon","star","category",1149.4104,0,8
"table","coal","unrelated_med",535.805,1,8
"hat","coat","category",440.0227,1,8
"knife","camel","unrelated_cat",509.8639,1,8
"plane","hat","unrelated_cat",538.7982,1,8
"mouth","hand","category",559.7506,1,8
"couch","lake","unrelated_cat",914.9433,1,8
"drill","hamper","mediated",491.9048,1,8
"knife","camera","unrelated_med",487.9138,1,8
"mountain","flute","unrelated_cat",593.6735,1,8
"truck","card","mediated",419.0703,1,8
"car","tablet","unrelated_med",512.8571,1,8
"harp","drum","category",562.7438,1,8
"drum","mouse","unrelated_med",561.746,1,8
"lemon","knight","unrelated_med",553.7642,1,8
"pig","sheep","category",677.483,1,8
"coat","harbour","unrelated_med",529.8186,1,8
"harp","lace","unrelated_med",514.8526,1,8
"drum","harbour","mediated",497.8912,1,8
"flute","whiskey","mediated",587.6871,1,8
"truck","chain","unrelated_med",494.898,1,8
"pig","sheet","mediated",490.907,1,8
"fork","coat","unrelated_cat",533.8095,1,8
"lake","card","unrelated_med",845.102,1,8
"flute","stalk","unrelated_med",634.5805,1,8
"beans","ear","unrelated_cat",641.5646,1,8
"hat","coal","mediated",518.8435,1,8
"sheep","pig","category",493.9002,1,8
"horse","earth","unrelated_med",560.7483,1,8
"fork","knife","category",558.7528,1,8
"lake","chair","unrelated_cat",763.288,1,8
"hat","drug","unrelated_med",472.9478,1,8
"sheep","car","unrelated_cat",483.9229,1,8
"car","hand","unrelated_cat",552.7664,1,8
"bed","couch","category",609.6372,1,8
"drum","pear","unrelated_cat",517.8458,1,8
"flute","sock","unrelated_cat",853.0839,1,8
"chair","tablet","mediated",521.8367,0,8
"pear","lemon","category",550.771,1,8
"bed","mountain","unrelated_cat",499.8866,1,8
"harp","lemon","unrelated_cat",477.9365,1,8
"coat","hat","category",487.9138,1,8
"drill","horse","unrelated_cat",466.9615,1,8
"chair","table","category",1830.8617,1,8
"table","star","unrelated_cat",476.9388,1,8
"fork","knight","mediated",525.8277,1,8
"carrot","beans","category",491.9048,1,8
"hammer","drill","category",649.5465,1,8
"car","truffle","mediated",580.7029,1,8
"beans","carrot","category",603.6508,1,8
"star","truffle","unrelated_med",566.7347,1,8
"bed","count","mediated",502.8798,1,8
"ear","leg","category",484.9206,1,8
"car","truck","category",471.9501,1,8
"tie","fluid","unrelated_med",532.8118,1,8
"couch","tide","unrelated_med",754.3084,1,8
"whistle","fluid","mediated",1276.1224,1,8
"chair","ham","unrelated_med",814.1723,1,8
"ship","drum","unrelated_cat",1135.4422,1,8
"fork","house","unrelated_med",465.9637,1,8
"mouth","tie","unrelated_cat",496.8934,1,8
"whistle","flute","category",981.7914,1,8
"chair","moon","unrelated_cat",782.2449,1,8
"ear","pearl","unrelated_med",489.9093,1,8
"table","chair","category",876.0317,1,8
"hammer","drip","mediated",859.0703,1,8
"carrot","leg","unrelated_cat",458.9796,1,8
"lemon","whistle","unrelated_cat",479.932,1,8
"ship","bell","unrelated_med",577.7098,1,8
"ear","couch","unrelated_cat",449.0023,1,8
"hammer","pig","unrelated_cat",915.941,1,8
"sock","whiskey","unrelated_med",598.6621,1,8
"drill","sheet","unrelated_med",441.0204,1,8
"ship","plane","category",458.9796,1,8
"horse","ship","unrelated_cat",551.7687,1,8
"lake","mountain","category",731.3605,1,8
"tie","sock","category",528.8209,1,8
"couch","bell","mediated",758.2993,1,8
"hand","mouth","category",427.0522,1,8
"plane","ship","category",483.9229,1,8
"camel","house","mediated",532.8118,1,8
"pig","truck","unrelated_cat",606.644,1,8
"beans","carriage","mediated",503.8776,1,8
"knife","fork","category",573.7188,1,8
"hammer","pill","unrelated_med",748.322,1,8
"carrot","beach","mediated",624.6032,1,8
"horse","camera","mediated",600.6576,1,8
"coat","fork","unrelated_cat",526.8254,1,8
"hand","sheep","unrelated_cat",450.9977,1,8
"knife","fort","mediated",495.8957,1,8
"truck","car","category",489.9093,1,8
"camel","legend","unrelated_med",467.9592,1,8
"mountain","shin","unrelated_med",516.8481,1,8
"tie","soap","mediated",459.9773,1,8
"mouth","hanger","mediated",485.9184,1,8
"bed","soap","unrelated_med",440.0227,1,8
"couch","bed","category",709.4104,1,8
"pear","lemming","mediated",499.8866,1,8
"beans","hamper","unrelated_med",517.8458,1,8
"mouth","beach","unrelated_med",429.0476,1,8
"star","moon","category",585.6916,1,8
"pig","mound","unrelated_med",576.712,1,8
"mountain","lace","mediated",526.8254,1,8
"pear","fort","unrelated_med",450,1,8
"lemon","pearl","mediated",513.8549,1,8
"table","chain","mediated",533.8095,1,8
"leg","lemming","unrelated_med",582.6984,1,8
"hand","carriage","unrelated_med",510.8617,1,8
"camel","legend","unrelated_med",414.0816,0,9
"moon","table","unrelated_cat",1007.7324,1,9
"tie","fluid","unrelated_med",600.6576,1,9
"harp","drum","category",639.5692,1,9
"drum","pear","unrelated_cat",746.3265,1,9
"truck","chain","unrelated_med",681.4739,1,9
"leg","earth","mediated",741.3379,1,9
"table","coal","unrelated_med",816.1678,1,9
"car","tablet","unrelated_med",651.542,1,9
"ear","couch","unrelated_cat",604.6485,1,9
"whistle","fluid","mediated",711.4059,1,9
"sheep","pig","category",659.5238,1,9
"beans","carriage","mediated",737.3469,1,9
"ship","bell","unrelated_med",NA,1,9
"hat","drug","unrelated_med",617.619,1,9
"camel","horse","category",751.3152,1,9
"sock","knife","unrelated_cat",753.3107,1,9
"mouth","hand","category",688.458,1,9
"table","star","unrelated_cat",669.5011,1,9
"harp","lemon","unrelated_cat",568.7302,1,9
"drill","hamper","mediated",750.3175,1,9
"leg","beans","unrelated_cat",652.5397,1,9
"pear","lemon","category",739.3424,1,9
"table","chain","mediated",692.449,1,9
"harp","lace","unrelated_med",553.7642,1,9
"drill","horse","unrelated_cat",694.4444,1,9
"chair","ham","unrelated_med",710.4082,1,9
"moon","star","category",492.9025,1,9
"pear","lemming","mediated",636.576,1,9
"ship","plant","mediated",NA,1,9
"whistle","carrot","unrelated_cat",663.5147,1,9
"horse","earth","unrelated_med",1256.1678,1,9
"star","truffle","unrelated_med",NA,1,9
"lake","mountain","category",966.8254,1,9
"drill","sheet","unrelated_med",677.483,1,9
"bed","soap","unrelated_med",681.4739,1,9
"hammer","drill","category",1172.3583,1,9
"car","hand","unrelated_cat",668.5034,1,9
"mountain","shin","unrelated_med",895.9864,1,9
"lake","mouse","mediated",792.2222,1,9
"beans","ear","unrelated_cat",695.4422,1,9
"couch","bell","mediated",956.8481,1,9
"hand","mound","mediated",656.5306,1,9
"mountain","lake","category",918.9342,1,9
"truck","car","category",913.9456,1,9
"bed","mountain","unrelated_cat",684.4671,1,9
"knife","fork","category",678.4807,1,9
"ship","plane","category",1088.5488,1,9
"horse","ship","unrelated_cat",479.932,1,9
"ear","pearl","unrelated_med",535.805,1,9
"lake","chair","unrelated_cat",843.1066,1,9
"whistle","mood","unrelated_med",728.3673,1,9
"flute","stalk","unrelated_med",734.3537,1,9
"camel","house","mediated",863.0612,1,9
"ear","legend","mediated",743.3333,1,9
"lemon","pear","category",840.1134,1,9
"tie","soap","mediated",1053.6281,1,9
"hammer","pill","unrelated_med",753.3107,1,9
"leg","lemming","unrelated_med",766.2812,1,9
"carrot","beans","category",902.9705,1,9
"lake","card","unrelated_med",871.0431,1,9
"hat","coal","mediated",687.4603,1,9
"couch","lake","unrelated_cat",835.1247,1,9
"hammer","pig","unrelated_cat",688.458,1,9
"truck","card","mediated",796.2132,1,9
"plane","ship","category",1194.3084,0,9
"hat","drill","unrelated_cat",930.907,1,9
"camel","plane","unrelated_cat",759.2971,1,9
"mouth","hanger","mediated",579.7052,1,9
"coat","fork","unrelated_cat",812.1769,1,9
"mountain","flute","unrelated_cat",610.6349,1,9
"chair","tablet","mediated",1017.7098,1,9
"pig","truck","unrelated_cat",816.1678,1,9
"mouth","beach","unrelated_med",605.6463,1,9
"coat","hat","category",719.3878,1,9
"pear","harp","unrelated_cat",833.1293,1,9
"car","truffle","mediated",699.4331,1,9
"hand","sheep","unrelated_cat",701.4286,1,9
"pig","sheep","category",574.7166,0,9
"fork","house","unrelated_med",692.449,1,9
"bed","couch","category",897.9819,1,9
"carrot","drip","unrelated_med",839.1156,1,9
"moon","plant","unrelated_med",506.8707,1,9
"pig","sheet","mediated",645.5556,0,9
"mountain","lace","mediated",849.093,1,9
"chair","moon","unrelated_cat",760.2948,1,9
"plane","hat","unrelated_cat",714.3991,1,9
"knife","fort","mediated",577.7098,1,9
"drum","mouse","unrelated_med",639.5692,1,9
"flute","sock","unrelated_cat",605.6463,1,9
"pear","fort","unrelated_med",731.3605,1,9
"coat","ham","mediated",701.4286,1,9
"lemon","knight","unrelated_med",672.4943,1,9
"drill","hammer","category",802.1995,1,9
"hand","carriage","unrelated_med",668.5034,1,9
"car","truck","category",804.195,1,9
"star","bed","unrelated_cat",763.288,1,9
"lemon","pearl","mediated",797.2109,1,9
"whistle","flute","category",812.1769,1,9
"sock","whiskey","unrelated_med",677.483,1,9
"hammer","drip","mediated",733.356,1,9
"tie","hammer","unrelated_cat",851.0884,1,9
"fork","coat","unrelated_cat",780.2494,1,9
"harp","drug","mediated",747.3243,1,9
"sock","tie","category",713.4014,1,9
"flute","whiskey","mediated",456.9841,1,9
"sheep","hanger","unrelated_med",787.2336,1,9
"plane","shin","mediated",877.0295,1,9
"ear","leg","category",712.4036,1,9
"bed","count","mediated",714.3991,1,9
"lemon","whistle","unrelated_cat",946.8707,1,9
"mouth","tie","unrelated_cat",657.5283,1,9
"leg","ear","category",793.22,1,9
"knife","camera","unrelated_med",805.1927,1,9
"chair","table","category",809.1837,1,9
"fork","knight","mediated",784.2404,1,9
"star","moon","category",720.3855,1,9
"carrot","leg","unrelated_cat",858.0726,1,9
"knife","camel","unrelated_cat",812.1769,1,9
"plane","count","unrelated_med",854.0816,1,9
"truck","mouth","unrelated_cat",833.1293,1,9
"sock","tide","mediated",874.0363,1,9
"tie","sock","category",952.8571,1,9
"hand","mouth","category",691.4512,1,9
"coat","harbour","unrelated_med",671.4966,1,9
"horse","camel","category",714.3991,1,9
"drum","harp","category",676.4853,1,9
"moon","stalk","mediated",738.3447,1,9
"couch","bed","category",1000.7483,0,9
"fork","knife","category",1178.3447,1,9
"star","mood","mediated",901.9728,1,9
"carrot","beach","mediated",NA,1,9
"table","chair","category",NA,0,9
"couch","tide","unrelated_med",1165.3741,1,9
"sheep","pill","mediated",798.2086,1,9
"hat","coat","category",612.6304,1,9
"beans","carrot","category",NA,1,9
"drum","harbour","mediated",780.2494,1,9
"horse","camera","mediated",704.4218,1,9
"pig","mound","unrelated_med",901.9728,1,9
"sheep","car","unrelated_cat",632.585,1,9
"beans","hamper","unrelated_med",715.3968,1,9
